UserID,Probability1
3,0.62
4,0.67
10,0.56
14,0.24
16,0.47
23,0.55
29,0.51
33,0.53
37,0.66
45,0.74
47,0.63
54,0.28
55,0.55
60,0.41
68,0.69
79,0.63
90,0.72
93,0.53
98,0.63
101,0.72
107,0.59
109,0.43
113,0.6
116,0.52
118,0.42
119,0.6
120,0.79
126,0.55
131,0.7
134,0.77
135,0.67
137,0.81
139,0.33
140,0.54
141,0.89
142,0.34
152,0.68
162,0.6
164,0.54
168,0.67
172,0.71
173,0.65
176,0.85
179,0.63
181,0.69
182,0.29
183,0.53
186,0.8
189,0.52
192,0.51
193,0.78
194,0.68
196,0.63
197,0.89
198,0.51
201,0.68
204,0.55
205,0.48
210,0.54
213,0.37
216,0.4
221,0.69
234,0.27
237,0.53
241,0.47
246,0.37
258,0.68
261,0.31
262,0.6
271,0.36
279,0.75
280,0.61
288,0.34
291,0.52
296,0.25
301,0.75
305,0.22
306,0.52
310,0.49
313,0.83
315,0.68
317,0.64
318,0.82
319,0.63
321,0.74
323,0.55
324,0.55
325,0.81
326,0.68
327,0.51
328,0.6
331,0.57
340,0.71
342,0.63
344,0.65
346,0.83
347,0.89
358,0.22
368,0.14
369,0.53
382,0.43
383,0.91
384,0.36
385,0.64
386,0.81
392,0.57
396,0.6
397,0.4
399,0.57
400,0.85
402,0.49
404,0.54
405,0.28
410,0.46
412,0.49
415,0.43
416,0.51
418,0.64
419,0.49
421,0.27
422,0.75
424,0.8
437,0.87
440,0.69
442,0.77
443,0.45
447,0.64
448,0.54
449,0.66
453,0.66
465,0.56
467,0.81
468,0.41
470,0.28
472,0.46
476,0.48
484,0.66
486,0.69
487,0.46
492,0.76
494,0.66
495,0.66
503,0.57
505,0.9
514,0.27
516,0.69
518,0.6
521,0.28
523,0.59
529,0.2
531,0.7
533,0.58
534,0.35
536,0.56
545,0.73
549,0.79
553,0.7
555,0.49
561,0.62
562,0.69
563,0.7
567,0.31
569,0.34
570,0.31
575,0.76
577,0.6
579,0.54
581,0.43
582,0.52
583,0.34
590,0.34
598,0.55
600,0.6
603,0.8
604,0.73
606,0.6
619,0.7
621,0.58
622,0.77
623,0.28
627,0.66
633,0.74
636,0.71
639,0.59
643,0.72
653,0.25
654,0.82
660,0.79
681,0.64
685,0.76
691,0.58
696,0.71
698,0.28
699,0.84
700,0.45
703,0.74
705,0.72
707,0.82
708,0.61
711,0.57
712,0.72
716,0.42
719,0.68
722,0.59
724,0.58
727,0.33
730,0.65
736,0.64
743,0.76
753,0.64
755,0.28
765,0.82
774,0.69
775,0.37
778,0.68
784,0.53
788,0.7
789,0.46
791,0.59
797,0.48
798,0.42
800,0.88
802,0.13
807,0.43
810,0.86
811,0.4
820,0.78
